Funds,Factsheet / Offering Material (via Fundinfo),Fund Specific Materials (via Intranet),Fund Watch List,Base Ccy,Last Bloomberg Update,Latest NAV,1 Mth Return (%),3 Mths Return (%),YTD Return (%),1 Yr Return (%),3 Yr Ann Return (%),5 Yr Ann Return (%),3 Yr Ann Std Dev (%),Inception Date,ISIN (base ccy),BB Ticker (base ccy),Other share classes available,Use of Derivatives (as a principal driver),Is this a High Yield Bond Fund (Yes/No),Risk Rating ,AR*,SG MAS Registered,SG Restricted,HK SFC Authorization,UK Registered,Offering In DIFC Allowed?*,UCITS,Fund House Max Sales ChargeBOS Fee Schedule applies - Min USD375 Max up to 2% upfront fee,Investment Objective,Investment Tenor,Investment Time Horizon,Dealing Frequency (Subscription)Refer to Funds Identifier tab for Notice Period,Dealing Frequency (Redemption)Refer to Funds Identifier tab for Notice Period,Loss Absorption Product,Complex Product,Remarks,Extra Remarks,,,,
Templeton Global Total Return A (acc) USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0170475312,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Templeton/FTIF-Templeton%20Global%20Total%20Return%20Fund,No,USD,06-Nov-2019,29.50 ,(0.10),(3.91),(1.76),(3.31),1.83 ,(0.33),7.72 ,8/29/2003,LU0170475312,TGTRFAA LX EQUITY,"USD Acc , USD Dis  (Mth) , USD Dis  (Mth) , SGD Dis  (Mth) , SGD Dis  (Mth) , SGD Dis  (Mth) (H) , SGD Dis  (Mth) (H) , EUR Dis  (Mth) , EUR Dis  (Mth) (H) , EUR Acc , EUR Acc  (H) , EUR Dis (Ann) , EUR Dis (Ann)(H) , AUD Dis  (Mth) (H) , AUD Dis  (Mth) (H) , HKD Dis  (Mth) , GBP Dis (Ann) , GBP Dis  (Mth) (H) , GBP Dis  (Mth) (H) , CHF Acc  (H) , HKD Acc , CNH Dis  (Mth) (H) , CNH Dis  (Mth) (H)",Yes,No,4,80%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, ,,,,
BlueBay Em Mkt Local Currency Bond R USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0240767763,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Bluebay/Bluebay%20Emerging%20Market%20Local%20Currency%20Bond%20Fund,Yes,USD,05-Nov-2019,136.81 ,2.37 ,3.07 ,9.24 ,9.97 ,0.58 ,(1.42),10.94 ,3/7/2006,LU0240767763,BLEMLCU LX EQUITY,"USD Acc , USD Dis (Ann) , EUR Acc  (H) , EUR Dis (Ann)(H) , SGD Acc  (H) , SGD Dis  (Mth) (H)",No,No,3,70%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, ,,,,
Pictet - Emerging Local Currency Debt-P USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0255798109,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Pictet/Emerging%20Local%20Currency%20Debt,Yes,USD,05-Nov-2019,171.96 ,2.21 ,3.25 ,9.51 ,10.07 ,2.22 ,(0.43),10.22 ,6/26/2006,LU0255798109,PFEMGDP LX EQUITY,"USD Acc , USD Dis  (Mth) , USD Dis (Ann) , EUR Acc , EUR Acc  (H) , EUR Dis  (Mth) , GBP Dis (Ann)",No,No,3,55%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, ,,,,
Fixed Income - Global EMD Hard Currency Bonds (Sovereign / Quasi-Sovereign),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
BlueBay Emerging Market Bond R USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0206733890,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Bluebay/Bluebay%20Emerging%20Market%20Bond%20Fund,No,USD,05-Nov-2019,222.80 ,(0.57),(0.26),11.23 ,10.55 ,3.68 ,3.97 ,5.84 ,11/16/2004,LU0206733890,BBEMBAR LX EQUITY,"USD Acc , USD Dis (Ann) , EUR Acc  (H) , EUR Dis (Ann)(H) , SGD Acc  (H) , SGD Dis  (Mth) (H)",No,Yes,4,65%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,,"(HY Bond Fund, restrictions apply)#",,,,
Pictet - Global Emerging Debt-P USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0128467544,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Pictet/Global%20Emerging%20Debt,No,USD,05-Nov-2019,401.05 ,(0.51),0.11 ,11.94 ,11.82 ,3.10 ,3.88 ,6.23 ,4/13/1999,LU0128467544,PFIFGEA LX EQUITY,"USD Acc , USD Dis  (Mth) , USD Dis (Ann) , EUR Acc  (H) , EUR Dis (Ann)(H) , CHF Acc  (H) , AUD Dis  (Mth) (H) , HKD Dis  (Mth) ",No,Yes,4,55%,Yes,Restricted,SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,,"(HY Bond Fund, restrictions apply)#",,,,
Fixed Income - Global Emerging Market Corporates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
Lion-Bank of Singapore Emerging Mkt Bd USD Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999012819,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Lion/Lion-BOS%20EM%20Bond%20Fund,No,USD,06-Nov-2019,1.25 ,0.48 ,1.22 ,10.47 ,10.77 ,4.18 ,N/A,3.56 ,2/16/2015,SG9999012819,LCBEMUA SP EQUITY,"USD Acc , USD Dis  (Qter) , USD Dis  (Qter) , AUD Dis  (Qter) (H) , AUD Dis  (Qter) (H) , SGD Dis  (Qter) (H) , SGD Dis  (Qter) (H)",No,Yes,4,75%,Yes,Restricted,SFC Unauthorized,No,Yes,No,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,,"(HY Bond Fund, restrictions apply)#",,,,
BlueBay Em Mkt Corporate Bond R USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0356217504,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Bluebay/Bluebay%20Emerging%20Market%20Corporate%20Bond%20Fund,No,USD,05-Nov-2019,204.88 ,0.23 ,0.25 ,9.18 ,8.53 ,3.59 ,3.06 ,4.14 ,3/31/2008,LU0356217504,BBEMABR LX EQUITY,"USD Acc , USD Dis (Ann) , USD Dis (Ann) , EUR Acc  (H) , EUR Dis (Ann)(H) , SGD Acc  (H) , SGD Dis  (Mth) (H) , SGD Dis  (Mth) (H)",No,No,4,55%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, ,,,,
BlueBay Em Mkt High Yield Corp Bond R USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0720472579,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Bluebay/Bluebay%20Emerging%20Market%20High%20Yield%20Corporate%20Bond%20Fund,No,USD,05-Nov-2019,132.62 ,1.38 ,1.38 ,9.78 ,7.55 ,3.85 ,3.31 ,5.79 ,3/20/2012,LU0720472579,BEMHCRU LX EQUITY,"USD Acc , USD Dis (Ann) , EUR Acc  (H) , EUR Dis (Ann)(H) , SGD Acc  (H) , SGD Dis  (Mth) (H)",No,Yes,5,50%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,,"(HY Bond Fund, restrictions apply)#",,,,
Fixed Income - Asian Credit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
BGF Asian Tiger Bond A2 USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0063729296,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20Asian%20Tiger%20Bond%20Fund,No,USD,06-Nov-2019,43.48 ,(0.21),0.93 ,10.50 ,12.26 ,3.57 ,3.96 ,3.57 ,2/2/1996,LU0063729296,MERATAA LX EQUITY,"USD Acc , USD Dis  (Mth) , EUR Acc  (H) , EUR Dis  (Mth) (H) , AUD Dis  (Mth) (H) , CAD Dis  (Mth) (H) , CNH Dis  (Mth) (H) , GBP Dis  (Mth) (H) , HKD Dis  (Mth) (H) , NZD Dis  (Mth) (H) , SGD Acc  (H) , SGD Dis  (Mth) (H) , ZAR Dis  (Mth) (H)",No,No,3,70%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, ,,,,
Fixed Income - Asian Local Currency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
Templeton Asian Bond A (acc) USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0229949994,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Templeton/FTIF-Templeton%20Asian%20Bond%20Fund,Yes,USD,06-Nov-2019,17.81 ,0.51 ,0.11 ,0.45 ,0.39 ,2.25 ,(0.85),4.87 ,10/25/2005,LU0229949994,TEMASAA LX EQUITY,"USD Acc , USD Dis  (Mth) , USD Dis  (Mth) , EUR Dis  (Mth) , EUR Acc , EUR Acc  (H) , SGD Dis  (Mth) , SGD Dis  (Mth) (H) , SGD Dis  (Mth) (H) , CHF Acc  (H) , AUD Dis  (Mth) (H)",Yes,No,4,70%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, ,,,,
Fixed Income - Asian High Yield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
Fidelity Funds - Asian Hi Yield A-ACC-USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0286668453,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Fidelity/Fidelity%20Asian%20High%20Yield%20Fund,No,USD,06-Nov-2019,18.52 ,0.87 ,1.37 ,10.70 ,10.90 ,4.07 ,5.06 ,4.53 ,3/30/2007,LU0286668453,FFASIAU LX EQUITY,"USD Acc , USD Dis  (Mth) , USD Dis  (Mth) , EUR Acc , EUR Dis (Ann)(H) , SGD Dis  (Mth) (H) , CNH Dis  (Qter) (H) , AUD Dis  (Mth) (H)",No,Yes,5,55%,Yes,"Retail
(Recognized)",SFC Authorized,No,Yes,Yes,5.25%,Income Generation,N/A,> 5 years,"Daily, but subject to quota availability, please check before placing orders.",Daily,No,No,,"(HY Bond Fund, restrictions apply)#",,,,
Fixed Income - China High Yield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
Income Partners Managed Volatility High Yield Bond Fund,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=HK0000421435,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Income%20Partners/IP%20Managed%20Volatility%20High%20Yield%20Bond%20Fund,No,CNH,05-Nov-2019,172.13 ,0.53 ,0.67 ,8.31 ,9.83 ,5.33 ,6.18 ,4.18 ,7/27/2011,HK0000421435,IRHY2BA HK EQUITY,"CNH Dis  (Mth), USD Acc , USD Dis  (Mth) , USD Dis  (Mth),  USD Acc (H),  USD Dis (Mth) (H), SGD Acc , HKD Acc, HKD Dis (Ann), SGD Acc, SGD Dis  (Mth), SGD Acc (H), SGD Dis  (Mth) (H)",No,Yes,5,50%,Yes,Restricted,SFC Authorized,No,Yes,No,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,,"(HY Bond Fund, restrictions apply)#",,,,
Fixed Income - Singapore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
LionGlobal Singapore Fixed Income Investment A,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999003263,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Lion/LionGlobal%20Singapore%20Fixed%20Income%20Investments,No,SGD,06-Nov-2019,1.75 ,(0.57),0.81 ,4.22 ,7.10 ,2.73 ,3.10 ,2.80 ,4/5/2001,SG9999003263,OCBSFIA SP EQUITY,SGD Acc,No,No,2,80%,Yes,"Retail
(Authorized)",SFC Unauthorized,No,Yes,No,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, ,,,,
LionGlobal Short Duration Bond A SGD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999002646,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Lion/LionGlobal%20Short%20Duration%20Bond%20Fund,No,SGD,06-Nov-2019,1.63 ,0.10 ,0.79 ,4.77 ,5.24 ,2.47 ,2.83 ,1.07 ,3/19/1991,SG9999002646,OCBSGBF SP EQUITY,"SGD Dis  (Qter) , SGD Acc , USD Dis  (Qter) (H) , USD Acc  (H)",No,No,2,85%,Yes,"Retail
(Authorized)",SFC Unauthorized,No,Yes,No,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, ,,,,
Fullerton SGD Income A,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999008411,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Fullerton/Fullerton%20SGD%20Income,No,SGD,06-Nov-2019,1.09 ,0.57 ,1.65 ,9.56 ,9.87 ,3.91 ,4.30 ,2.46 ,1/5/2012,SG9999008411,FULSGIA SP EQUITY,"SGD Dis  (Qter) , SGD Dis  (Qter) , SGD Dis  (Qter) , USD Dis  (Qter) (H)",No,No,2,80%,Yes,"Retail
(Authorized)",SFC Unauthorized,No,Yes,No,3.00%,Income Generation,N/A,> 5 years,"Daily, but subject to quota availability, please check before placing orders.",Daily,No,Yes,,"(subject to quota availability, please check before placing orders)",,,,
Fullerton Short Term Interest Rate C,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999006225,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Fullerton/Fullerton%20Short%20Term%20Interest%20Rate%20Fund,No,SGD,06-Nov-2019,1.39 ,0.14 ,0.75 ,3.78 ,4.49 ,2.40 ,2.53 ,0.82 ,9/25/2009,SG9999006225,FULSTIC SP EQUITY,"SGD Acc , USD Acc  (H)",No,No,2,80%,Yes,"Retail
(Authorized)",SFC Unauthorized,No,Yes,No,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, ,,,,
United SGD Fund-Class A SGD Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=SG9999001382,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/UOB/United%20SGD%20Fund,No,SGD,06-Nov-2019,1.92 ,0.52 ,0.84 ,3.78 ,4.17 ,1.83 ,2.40 ,1.14 ,5/18/1998,SG9999001382,OUBGPCI SP EQUITY,"SGD Acc , SGD Dis  (Qter) , USD Acc  (H) , USD Dis  (Qter) (H)",No,No,2,80%,Yes,"Retail
(Authorized)",SFC Unauthorized,No,Yes,No,3.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, ,,,,
Fixed Income - India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
Kotak Bond Feeder Fund Series D,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=MU0381S00022,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Kotak/Kotak%20Bond%20Feeder%20Fund%20Series%20D,No,USD,05-Nov-2019,12.26 ,0.64 ,0.63 ,7.84 ,15.59 ,3.74 ,4.61 ,8.51 ,1/29/2013,MU0381S00022,KBNDSRD MP EQUITY,USD Acc  ,No,No,3,70%,Yes,Restricted,SFC Unauthorized,No,"Yes, if Suitable",No,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, ,,,,
RMB Bonds - Offshore Bonds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
Schroder RMB Fixed Income Fund - CNH C Acc,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=HK0000069135,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Schroder/RMB%20Fixed%20Income%20Fund,Yes,CNY,06-Nov-2019,125.49 ,0.14 ,0.38 ,3.95 ,5.36 ,3.31 ,3.33 ,1.43 ,11/5/2010,HK0000069135,SCHRFIC HK Equity,"USD Acc , USD Dis  (Mth) , CNH Acc  ",No,No,3,70%,Yes,Restricted,SFC Unauthorized,No,Yes,No,2.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,Yes,, ,,,,
BGF China Bond A2 CNH,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0679940949,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20China%20Bond%20Fund,No,CNH,06-Nov-2019,96.18 ,0.64 ,1.56 ,7.76 ,8.76 ,5.79 ,5.65 ,2.27 ,11/11/2011,LU0679940949,BGRBA2C LX Equity,"USD Acc , USD - A3 Dis  (Mth) , CHF Acc , CNH Acc , CNH - A3 Dis  (Mth) , HKD - A3 Dis  (Mth) ",No,No,3,40%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,No,No,, ,,,,
Capital Securities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
PIMCO GIS Capital Securities E Acc USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=IE00BFRSV866,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/PIMCO/Capital%20Securities%20Fund,No,USD,06-Nov-2019,13.93 ,1.90 ,3.88 ,14.09 ,11.26 ,6.29 ,5.08 ,4.75 ,10/28/2013,IE00BFRSV866,PIMEAUS ID EQUITY,"USD Acc , USD Dis  (Qter) , USD Dis  (Mth) , EUR Acc  (H) , EUR Dis  (Qter) (H) , CHF Acc  (H) , SGD Dis  (Mth) (H)",Yes,Yes,5,60%,Yes,Restricted,SFC Unauthorized,Yes,Yes,Yes,5.00%,Income Generation,N/A,> 5 years,Daily,Daily,Yes,Yes,,"(HY Bond Fund, restrictions apply)#",,,,
Mixed Asset / Asset Allocation - Global,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,
BGF Dynamic High Income Fund,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU1564329032,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20Dynamic%20High%20Income%20Fund,No,USD,06-Nov-2019,10.80 ,1.79 ,3.85 ,16.76 ,8.76 ,N/A,N/A,N/A,2/6/2018,LU1564329032,BGDHA2U LX EQUITY,"USD Acc , USD Dis  (Mth) , SGD Acc  (H) , SGD Dis  (Mth) (H) , AUD Dis  (Mth) (H) , HKD Dis  (Mth) (H) , EUR Dis  (Mth) (H) , GBP Dis  (Mth) (H) , CNH Dis  (Mth) (H)",No,No,4,60%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, ,,,,
BGF Global Allocation A2 USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0072462426,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20Global%20Allocation%20Fund,No,USD,06-Nov-2019,59.00 ,2.59 ,4.72 ,13.27 ,8.10 ,5.74 ,3.35 ,6.82 ,1/3/1997,LU0072462426,MERGAAI LX EQUITY,"USD Acc , USD Dis (Ann) , EUR Dis (Ann)(H) , EUR Dis (Ann) , EUR Acc , EUR Acc  (H) , AUD Acc  (H) , CHF Acc  (H) , GBP Acc  (H) , PLN Acc  (H) , HUF Acc , SGD Acc  (H)
",No,No,3,60%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, ,,,,
BGF Global Multi-Asset Income A2 USD,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0784385840,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/Blackrock/BGF%20Global%20Multi-Asset%20Income%20Fund,No,USD,06-Nov-2019,14.10 ,0.93 ,2.17 ,11.46 ,7.96 ,5.23 ,3.48 ,4.02 ,6/28/2012,LU0784385840,BGMAIA2 LX EQUITY,"USD Acc , USD Dis  (Mth) , SGD Dis  (Qter) (H) , SGD Dis  (Mth) (H) , NZD Dis  (Mth) (H) , HKD Dis  (Mth) (H) , GBP Dis  (Mth) (H) , EUR Acc , EUR Acc  (H) , EUR Dis (Ann)(H) , EUR Dis  (Mth) (H) , CAD Dis  (Mth) (H) , AUD Dis  (Qter) (H) , AUD Dis  (Mth) (H)",No,No,3,70%,Yes,"Retail
(Recognized)",SFC Authorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, ,,,,
"BOS International (""BOSI Fund"") - Defensive",http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing Materials/Forms/AllItems.aspx,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/BOS%20International%20Fund,No,USD,06-Nov-2019,108.00 ,0.96 ,2.36 ,10.16 ,9.08 ,N/A,N/A,N/A,8/31/2018,LU1832431875,BOIDRCU LX EQUITY,"USD Acc , USD Dis  (Qter) , SGD Acc  (H) , SGD Dis  (Qter) (H) , AUD Acc  (H),  AUD Dis  (Qter) (H) , EUR Acc  (H), EUR Dis  (Qter) (H) , GBP Acc  (H), GBP Dis  (Qter) (H) ",No,No,3,75%,Yes,Restricted,SFC Unauthorized,TBC,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,"(May only be offered to clients who are resident in Singapore, Hong Kong and United Arab Emirates. No further subscription from existing BOSI investors or new investors who are not resident in Singapore, Hong Kong and United Arab Emirates. ",,,,
"BOS International (""BOSI Fund"") - Balanced",http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing Materials/Forms/AllItems.aspx,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/BOS%20International%20Fund,No,USD,05-Nov-2019,108.70 ,2.48 ,4.42 ,13.75 ,10.65 ,N/A,N/A,N/A,8/31/2018,LU1832433228,BOIBRCU LX EQUITY,"USD Acc , USD Dis  (Qter) , SGD Acc  (H) , SGD Dis  (Qter) (H) , AUD Acc  (H),  AUD Dis  (Qter) (H) , EUR Acc  (H), EUR Dis  (Qter) (H) , GBP Acc  (H), GBP Dis  (Qter) (H) ",No,No,3,70%,Yes,Restricted,SFC Unauthorized,TBC,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,"(May only be offered to clients who are resident in Singapore, Hong Kong and United Arab Emirates. No further subscription from existing BOSI investors or new investors who are not resident in Singapore, Hong Kong and United Arab Emirates. ",,,,
"BOS International (""BOSI Fund"") - Growth",http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing Materials/Forms/AllItems.aspx,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/BOS%20International%20Fund,No,USD,06-Nov-2019,107.09 ,4.24 ,6.57 ,15.29 ,9.98 ,N/A,N/A,N/A,8/31/2018,LU1832434622,BOIGRCU LX EQUITY,"USD Acc , SGD Acc  (H) , AUD Acc  (H),  EUR Acc  (H), GBP Acc  (H)",No,No,3,70%,Yes,Restricted,SFC Unauthorized,TBC,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,,"(May only be offered to clients who are resident in Singapore, Hong Kong and United Arab Emirates. No further subscription from existing BOSI investors or new investors who are not resident in Singapore, Hong Kong and United Arab Emirates. ",,,,
JPM Global Income A Acc EUR,https://gateway.fundinfo.com/3.0/query.html?apiKey=9247bf956dfd39153c821c9f2ae6fe20&query=LU0740858229,http://intranet.ocbc.com/BOS/Intranet/prdctmgtgrp/teampmg/investmentadvisory/MIAS/Marketing%20Materials/JP%20Morgan/JPM%20Global%20Income%20Fund,No,EUR,06-Nov-2019,142.37 ,0.84 ,2.32 ,9.60 ,5.78 ,3.40 ,2.69 ,4.47 ,3/1/2012,LU0740858229,JPGIAEA LX Equity,"EUR Dis  (Qter) , EUR Dis (Ann) , EUR Dis  (Mth) , EUR Acc , USD Dis  (Qter) (H) , USD Dis  (Qter) (H) , USD Dis  (Mth) (H) , USD Acc  (H) , SGD Dis  (Qter) (H) , SGD Dis  (Qter) , SGD Dis  (Mth) (H) , SGD Acc  (H) , CHF Dis  (Qter) (H) , CHF Acc  (H) , AUD Dis  (Mth) (H) , AUD Acc  (H) , CNH Dis  (Mth) (H) , GBP Dis  (Mth) (H) , GBP Dis (Ann)(H) , CAD Dis  (Mth) (H)",No,No,3,70%,Yes,"Retail
(Recognized)",SFC Unauthorized,Yes,Yes,Yes,5.00%,Capital Appreciation,N/A,> 5 years,Daily,Daily,No,No,, ,,,,
